2419912.618245	0.992819	0.006560
2419912.619176	0.988142	0.006630
2419912.620110	0.987919	0.006463
2419912.621038	0.989776	0.006524
2419912.621969	0.983297	0.006464
2419912.622904	0.981500	0.006497
2419912.623842	0.977625	0.006516
2419912.624771	0.976692	0.006569
2419912.625699	0.975139	0.006500
2419912.626626	0.972189	0.006772
2419912.627561	0.969605	0.006634
2419912.628490	0.964242	0.006569
2419912.629418	0.964947	0.006639
2419912.630347	0.962458	0.006562
2419912.631274	0.958176	0.006600
2419912.632201	0.959082	0.006673
2419912.633128	0.954813	0.006662
2419912.634059	0.954517	0.006579
2419912.634985	0.951877	0.006663
2419912.635913	0.952201	0.006641
2419912.636842	0.947939	0.006655
2419912.637769	0.947548	0.006667
2419912.638696	0.946668	0.006734
2419912.639624	0.944265	0.006668
2419912.640553	0.946025	0.006636
2419912.641481	0.946418	0.006701
2419912.642408	0.941224	0.006689
2419912.643335	0.943329	0.006675
2419912.644262	0.944166	0.006713
2419912.645190	0.943225	0.006702
2419912.646117	0.942277	0.006554
2419912.647044	0.942728	0.006712
2419912.647973	0.942089	0.006960
2419912.648901	0.944229	0.006795
2419912.649828	0.942088	0.006822
2419912.650756	0.943398	0.006907
2419912.651684	0.943592	0.006895
2419912.652613	0.939875	0.006766
2419912.653539	0.942090	0.006768
2419912.656569	0.947653	0.007087
2419912.657728	0.942307	0.006890
2419912.658655	0.944204	0.006801
2419912.659584	0.944062	0.006939
2419912.660510	0.941507	0.007042
2419912.661437	0.943052	0.006944
2419912.662364	0.938673	0.006996
2419912.663292	0.939129	0.006850
2419912.664219	0.937038	0.006938
2419912.665147	0.937062	0.006875
2419912.666075	0.933868	0.007105
2419912.667003	0.936606	0.007024
2419912.667931	0.939861	0.006871
2419912.668859	0.938836	0.006959
2419912.669787	0.938614	0.006735
2419912.670714	0.938378	0.006842
2419912.671642	0.938651	0.006827
2419912.672568	0.938126	0.006805
2419912.673496	0.939965	0.006840
2419912.674423	0.940995	0.007019
2419912.675349	0.939572	0.006995
2419912.676275	0.941313	0.007016
2419912.677203	0.948786	0.007826
2419912.678132	0.948553	0.007731
2419912.679063	0.949459	0.007300
2419912.679992	0.949060	0.007129
2419912.680919	0.952150	0.007301
2419912.681847	0.951921	0.007487
2419912.682776	0.956430	0.007025
2419912.683705	0.956965	0.007502
2419912.684633	0.958517	0.007232
2419912.685563	0.959310	0.007053
2419912.686493	0.963535	0.007174
2419912.687422	0.963385	0.007606
2419912.688350	0.969630	0.007225
2419912.689278	0.971826	0.007614
2419912.690207	0.979302	0.008300
2419912.691137	0.976685	0.007396
2419912.692065	0.975766	0.006953
2419912.692992	0.980479	0.007180
2419912.693922	0.982394	0.007393
2419912.694850	0.986315	0.007403
2419912.695780	0.984963	0.007309
2419912.696709	0.986086	0.007310
2419912.697638	0.989561	0.007474
2419912.698567	0.993708	0.007927
2419912.699496	0.999847	0.007830
2419912.700422	0.996890	0.007439
2419912.701349	0.993614	0.007426
2419912.702276	1.001739	0.007776
2419912.703203	0.997382	0.007600
2419912.704134	0.999034	0.007432
2419912.705063	0.993990	0.007664
2419912.705989	0.997788	0.007693
2419912.706917	1.001837	0.007919
2419912.707847	0.999908	0.008057
2419912.708778	0.997316	0.008018
2419912.709706	0.997342	0.007822
2419912.710635	0.998492	0.007594
2419912.711564	0.996980	0.007918
2419912.712491	0.998147	0.007455
2419912.713420	0.996858	0.007304
2419912.714347	1.000104	0.007882
2419912.715275	0.997150	0.007904
2419912.716205	0.996586	0.007106
2419912.717134	0.995560	0.007301
2419912.718064	0.999143	0.008529
2419912.719000	1.003944	0.008902
2419912.719931	0.998025	0.007383
2419912.720860	1.000031	0.007052
2419912.721788	0.997171	0.008701
